Area Name,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,all_years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
77th Street,2709,2584,2488,2596,2808,3309,3841,3951,3915,3032,31233,2551,2508,2770,2623,2677,2618,2717,2823,2671,2586,2286,2403,879,812,788,573,403,496,700,1452,1364,1095,1185,1309,1537,1578,1820,1965,2047,2114,1938,1828,1632,1455,1209,1054
Central,1653,1769,1832,1857,1897,2092,2386,2349,2364,1943,20142,1650,1576,1774,1713,1689,1751,1782,1802,1565,1682,1589,1569,399,393,433,212,169,277,474,771,1073,1140,1145,1163,1256,1249,1372,1281,1324,1426,1245,836,599,673,690,542
Devonshire,2241,2255,2205,2150,2240,2693,2762,2950,2828,2065,24389,1892,1991,2158,2029,2073,1941,1955,2159,2191,2031,1979,1990,545,476,483,328,234,301,546,1231,1237,931,1059,1173,1388,1469,1588,1840,1663,1870,1479,1177,1039,890,786,656
Foothill,1623,1607,1610,1559,1570,1732,1948,2004,2036,1507,17196,1377,1399,1501,1438,1456,1426,1442,1531,1501,1478,1274,1373,509,391,377,318,212,265,411,832,760,612,671,739,826,874,938,978,1042,1119,1059,980,980,908,745,650
Harbor,1787,1812,1763,1746,1731,1954,2014,2003,2052,1628,18490,1499,1484,1653,1548,1616,1497,1565,1646,1622,1619,1356,1385,414,473,511,329,262,317,413,899,893,695,795,894,1003,949,1101,1152,1149,1254,1063,898,861,796,754,615
Hollenbeck,1576,1613,1604,1613,1737,1935,2066,2227,2093,1530,17994,1479,1392,1608,1531,1541,1445,1504,1618,1506,1527,1367,1476,440,406,418,368,219,300,437,952,997,794,768,744,934,815,1007,1147,1102,1208,1186,976,811,688,655,622
Hollywood,2276,2374,2372,2313,2285,2499,2654,2743,2624,2071,24211,2022,2020,2208,1971,2026,2076,2136,2198,2004,2067,1737,1746,886,894,1162,568,240,232,350,681,987,999,1019,1069,1163,1261,1288,1356,1360,1417,1471,1259,1099,1106,1101,1243
Mission,1946,2025,1907,1911,2002,2273,2604,2555,2491,1941,21655,1721,1700,1880,1838,1872,1880,1759,2034,1920,1774,1592,1685,606,527,542,378,300,335,537,1122,908,752,828,883,1152,1128,1199,1345,1285,1521,1413,1270,1094,991,797,742
N Hollywood,2544,2573,2655,2442,2480,2768,2844,2982,2878,2221,26387,2129,2096,2406,2203,2219,2209,2238,2341,2275,2248,2057,1966,781,727,670,410,260,256,478,963,1235,1087,1145,1163,1477,1543,1586,1747,1510,1749,1762,1459,1244,1201,987,947
Newton,2004,2018,1925,2075,2267,2576,2983,3292,3096,2382,24618,1978,1871,2142,2109,2111,2028,2180,2198,2134,2073,1885,1909,504,523,549,424,330,413,690,1271,1166,1021,1030,1193,1227,1408,1566,1639,1630,1817,1717,1216,1003,877,766,638
